seqnames	start	end	width	strand	IGHregion	gene_id	short_name
chr14	105854220	105854404	185	-	IGHM	ENSG00000211899.9	IGHM_1
chr14	105854405	105854737	333	-	IGHM	ENSG00000211899.9	IGHM_2
chr14	105854917	105855234	318	-	IGHM	ENSG00000211899.9	IGHM_3
chr14	105855480	105855815	336	-	IGHM	ENSG00000211899.9	IGHM_4
chr14	105855906	105856218	313	-	IGHM	ENSG00000211899.9	IGHM_5
chr14	105836765	105837159	395	-	IGHD	ENSG00000211898.7	IGHD_1
chr14	105837444	105837601	158	-	IGHD	ENSG00000211898.7	IGHD_2
chr14	105838401	105838429	29	-	IGHD	ENSG00000211898.7	IGHD_3
chr14	105840367	105840690	324	-	IGHD	ENSG00000211898.7	IGHD_4
chr14	105840901	105841224	324	-	IGHD	ENSG00000211898.7	IGHD_5
chr14	105841961	105842032	72	-	IGHD	ENSG00000211898.7	IGHD_6
chr14	105844825	105844926	102	-	IGHD	ENSG00000211898.7	IGHD_7
chr14	105845375	105845677	303	-	IGHD	ENSG00000211898.7	IGHD_8
chr14	105845678	105845678	1	-	IGHD	ENSG00000211898.7	IGHD_9
chr14	105769102	105769559	458	-	IGHG3	ENSG00000211897.8	IGHG3_1
chr14	105769657	105769986	330	-	IGHG3	ENSG00000211897.8	IGHG3_2
chr14	105770105	105770149	45	-	IGHG3	ENSG00000211897.8	IGHG3_3
chr14	105770293	105770337	45	-	IGHG3	ENSG00000211897.8	IGHG3_4
chr14	105770481	105770525	45	-	IGHG3	ENSG00000211897.8	IGHG3_5
chr14	105770669	105770719	51	-	IGHG3	ENSG00000211897.8	IGHG3_6
chr14	105771112	105771405	294	-	IGHG3	ENSG00000211897.8	IGHG3_7
chr14	105736343	105737845	1503	-	IGHG1	ENSG00000211896.7	IGHG1_1
chr14	105740063	105740193	131	-	IGHG1	ENSG00000211896.7	IGHG1_2
chr14	105741338	105741338	1	-	IGHG1	ENSG00000211896.7	IGHG1_3
chr14	105741339	105741480	142	-	IGHG1	ENSG00000211896.7	IGHG1_4
chr14	105741481	105741795	315	-	IGHG1	ENSG00000211896.7	IGHG1_5
chr14	105741893	105741959	67	-	IGHG1	ENSG00000211896.7	IGHG1_6
chr14	105741960	105742064	105	-	IGHG1	ENSG00000211896.7	IGHG1_7
chr14	105742065	105742222	158	-	IGHG1	ENSG00000211896.7	IGHG1_8
chr14	105742341	105742385	45	-	IGHG1	ENSG00000211896.7	IGHG1_9
chr14	105742777	105743071	295	-	IGHG1	ENSG00000211896.7	IGHG1_10
chr14	105707118	105707562	445	-	IGHA1	ENSG00000211895.4	IGHA1_1
chr14	105707785	105708144	360	-	IGHA1	ENSG00000211895.4	IGHA1_2
chr14	105708359	105708665	307	-	IGHA1	ENSG00000211895.4	IGHA1_3
chr14	105703961	105704086	126	-	IGHA1	ENSG00000253701.2	IGHA1_4
chr14	105704367	105704602	236	-	IGHA1	ENSG00000253701.2	IGHA1_5
chr14	105643052	105643525	474	-	IGHG2	ENSG00000211893.3	IGHG2_1
chr14	105643623	105643949	327	-	IGHG2	ENSG00000211893.3	IGHG2_2
chr14	105644068	105644103	36	-	IGHG2	ENSG00000211893.3	IGHG2_3
chr14	105644496	105644790	295	-	IGHG2	ENSG00000211893.3	IGHG2_4
chr14	105644496	105644789	294	-	IGHG2	ENSG00000253364.1	IGHG2_5
chr14	105640168	105640232	65	+	IGHG2	ENSG00000277030.1	IGHG2_6
chr14	105624341	105624798	458	-	IGHG4	ENSG00000211892.3	IGHG4_1
chr14	105624896	105625225	330	-	IGHG4	ENSG00000211892.3	IGHG4_2
chr14	105625344	105625379	36	-	IGHG4	ENSG00000211892.3	IGHG4_3
chr14	105625772	105626066	295	-	IGHG4	ENSG00000211892.3	IGHG4_4
chr14	105621116	105621180	65	+	IGHG4	ENSG00000274172.1	IGHG4_5
chr14	105599941	105600397	457	-	IGHE	ENSG00000211891.5	IGHE_1
chr14	105600481	105600804	324	-	IGHE	ENSG00000211891.5	IGHE_2
chr14	105600891	105601211	321	-	IGHE	ENSG00000211891.5	IGHE_3
chr14	105601419	105601728	310	-	IGHE	ENSG00000211891.5	IGHE_4
chr14	105597691	105597774	84	-	IGHE	ENSG00000227468.4	IGHE_5
chr14	105597859	105597886	28	-	IGHE	ENSG00000227468.4	IGHE_6
chr14	105597887	105597980	94	-	IGHE	ENSG00000227468.4	IGHE_7
chr14	105597981	105598136	156	-	IGHE	ENSG00000227468.4	IGHE_8
chr14	105599904	105599932	29	-	IGHE	ENSG00000227468.4	IGHE_9
chr14	105599933	105600039	107	-	IGHE	ENSG00000227468.4	IGHE_10
chr14	105600074	105600083	10	-	IGHE	ENSG00000227468.4	IGHE_11
chr14	105600084	105600179	96	-	IGHE	ENSG00000227468.4	IGHE_12
chr14	105600180	105600209	30	-	IGHE	ENSG00000227468.4	IGHE_13
chr14	105601472	105601656	185	-	IGHE	ENSG00000254140.1	IGHE_14
chr14	105601657	105601727	71	-	IGHE	ENSG00000254140.1	IGHE_15
chr14	105586889	105587331	443	-	IGHA2	ENSG00000211890.3	IGHA2_1
chr14	105587554	105587874	321	-	IGHA2	ENSG00000211890.3	IGHA2_2
chr14	105588089	105588395	307	-	IGHA2	ENSG00000211890.3	IGHA2_3
